118,14,22,27
119,16,22,27
119,18,22,27
121,18,22,27
119,19,23,28
119,19,23,28
119,19,23,28
118,20,23,28
119,21,23,28
117,22,22,27
117,23,22,27
117,26,22,27
115,25,22,27
116,26,21,26
115,27,21,26
115,27,21,26
115,28,21,26
114,28,21,26
114,29,21,26
113,29,21,26
112,31,22,27
113,31,22,27
112,31,22,27
112,32,21,26
111,34,22,27
109,32,23,28
110,32,23,28
109,34,23,28
110,34,23,28
110,36,23,28
112,36,23,28
115,36,23,28
114,37,23,28
117,38,23,28
118,40,22,27
120,40,23,28
122,41,23,28
122,41,23,28
125,42,23,28
125,43,23,28
127,43,23,28
129,46,22,27
131,46,22,27
132,46,23,28
133,48,22,27
136,48,22,27
136,50,22,27
136,50,23,27
139,50,23,27
139,52,23,27
142,52,23,27
143,52,23,27
142,54,23,27
146,55,23,27
146,55,23,27
149,56,22,26
151,58,22,26
152,58,22,26
154,59,22,26
155,60,22,26
158,60,22,26
158,61,22,26
160,61,22,26
162,62,22,26
161,63,23,27
164,64,23,27
164,64,23,27
167,65,22,26
169,67,22,26
170,67,22,26
172,68,22,26
173,68,22,26
173,68,23,27
176,70,23,27
176,70,23,27
178,71,22,26
180,72,22,26
182,73,22,26
184,74,22,26
185,76,22,26
185,76,22,26
187,77,22,26
187,79,23,27
191,80,22,26
191,82,23,27
193,83,22,26
193,85,22,26
195,84,23,27
198,86,23,27
197,88,23,27
199,88,23,27
200,91,23,27
202,92,23,27
203,94,23,27
204,96,23,27
207,97,22,26
208,99,22,26
208,100,22,26
209,102,23,27
211,103,22,26
214,105,22,26
214,106,22,26
216,110,22,26
217,112,22,26
219,114,22,26
221,114,22,26
222,117,22,26
223,119,22,26
223,119,22,26
224,122,22,26
224,123,22,26
224,125,22,26
224,126,21,25
224,128,21,25
221,129,21,25
221,130,21,25
220,132,21,25
218,134,21,25
216,135,22,26
213,137,22,26
211,138,22,26
209,141,22,26
208,142,21,25
208,143,21,25
205,146,21,25
204,145,21,25
202,149,21,25
198,149,23,25
198,150,23,25
195,153,23,25
193,153,23,25
191,155,23,25
191,156,23,25
188,159,23,25
187,159,23,25
184,162,23,25
183,163,23,25
182,164,23,25
179,167,23,25
178,167,23,25
176,169,23,25
174,171,23,25
173,172,23,25
172,173,23,25
170,174,23,25
169,176,23,25
168,176,23,25
166,178,23,25
164,179,23,25
163,179,23,25
163,181,23,25
161,181,23,25
158,182,24,26
158,183,23,25
156,184,23,25
156,185,23,25
154,185,23,25
153,187,23,25
152,188,23,25
151,188,23,25
148,190,24,26
148,190,24,26
146,191,23,25
146,192,23,25
143,194,24,26
143,194,24,26
142,195,23,25
142,196,23,25
141,197,23,25
140,198,23,25
139,198,23,25
136,200,24,26
136,201,24,26
136,201,23,25
135,202,23,25
135,203,23,25
135,204,23,25
134,205,23,25
136,206,23,25
136,207,23,25
137,207,23,25
137,209,23,25
137,209,23,25
137,211,24,26
137,212,24,26
139,212,24,26
138,213,24,26
139,214,24,26
140,215,23,25
140,215,23,25
139,217,27,26
137,218,26,25
140,220,26,25
140,221,26,25
140,221,26,25
140,220,30,28
140,221,30,28
142,221,30,28
143,222,30,28
144,223,30,28
144,223,30,28
146,224,30,28
147,225,30,28
148,227,30,28
150,226,30,28
150,227,30,28
151,228,30,28
153,228,30,28
154,229,30,28
156,230,30,28
156,230,30,28
158,231,30,28
159,231,30,28
160,232,30,28
159,233,32,28
159,233,32,28
161,234,32,28
163,236,34,29
165,235,34,29
166,235,34,29
169,236,34,29
170,237,34,29
173,238,34,29
175,238,34,29
177,238,34,29
179,239,34,29
181,240,34,29
183,240,34,29
186,241,34,29
190,241,34,29
190,242,34,29
193,242,34,29
195,243,34,29
195,242,35,31
198,243,35,31
200,243,35,31
201,243,35,31
205,245,35,31
